,study_id,sample_n_total,sample_n_adhd,sample_adhd_female,sample_adhd_age_mean,sample_adhd_age_sd,sample_control_female,sample_control_age_mean,sample_control_age_sd,missing_values_age,group_level_matching,control_method_age,statistical_control_age,stimulant_handling_procedure,stimulant_handling,other_medication_clinical_group,no_other_medication,control_method_medication,statistical_control_medication,clinical/trait_group,included/permitted_comorbidities,adhd_symptom_scales,rating,relationship_investigated
0,Bekker_2005,48,24,0.5,34.3,11.68,0.5,34.9,,not explicitly reported,1,None: Relying purely on baseline matching; no age covariates in final models.,0,Stimulant-Naïve: Recruited when first seeking clinical help; no former psychostimulant history.,1,None Active: 2 patients on SSRIs ceased use prior to participation.,1,Exclusion/Washout: Suspended all psychoactive medications for ≥ 6 times their half-life.,0.0,clinical,Psychiatric comorbidities permitted unless primary acute treatment/medication was required,"Brown ADD Scale, Conners’ Adult ADHD Rating Scales, DSM-IV ADHD-rating scale, Diagnostic Interview Schedule (DIS-L), Composite International Diagnostic Interview (CIDI), and a semistructured diagnostic interview for ADHD and comorbid disorders (SGIK)",B,1
1,Cowley_2022,71,53,0.528,36.26,10.22,0.667,32.78,10.82,,1,None: Bypassed statistical control because age ranges of groups were balanced.,0,Washout: ADHD stimulants withheld for 48 hours prior to recording.,1,None active: Controls required to be medication-free; ADHD non-stimulants not reported.,0,"Washout only: Combined with a 12-hour restriction on caffeine, nicotine, and energy drinks.",0.0,clinical,None (pure ADHD cohort),"ASRS, BADDS, DIVA",A,0
2,Deiber_2020,47,25,0.52,33.9,10.9,0.636,31.1,7.4,,1,None: Bypassed statistical control due to group-level matching.,0,Washout: 10 unmedicated; 10 taking methylphenidate underwent a 24-hour washout.,1,"Active non-stimulants: 2 atomoxetine, 1 antiepileptic, 1 benzodiazepine, 1 neuroleptic (not stopped).",0,None: Flagged as a methodological limitation; non-stimulants with long half-lives were not fully eliminated.,0.0,clinical,None (pure ADHD cohort),"ADHD Child Evaluation for Adults (ACE+); the French version of the Structured Clinical Interview for DSM-IV Axis II Personality Disorders (SCID-II, First et al., 1997) and the French version of the Diagnostic Interview for Genetic Studies",B,0
3,Deiber_2021,47,25,0.52,33.9,10.9,0.6363636364,31.1,7.4,,1,None: Omitted age covariates from final ERP peak models.,0,Washout: Same as Deiber et al. (2020) with a 24-hour washout for methylphenidate.,1,"Same as Deiber et al. (2020): Active atomoxetine, antiepileptics, benzodiazepines, neuroleptics (not stopped).",0,None: Cohort evaluated off stimulants; no statistical covariates applied for active non-stimulants.,0.0,clinical,None (pure ADHD cohort),"ADHD Child Evaluation for Adults (ACE+); the French version of the Structured Clinical Interview for DSM-IV Axis II Personality Disorders (SCID-II, First et al., 1997) and the French version of the Diagnostic Interview for Genetic Studies, ASRS, WURS, BIS-11",A,1
4,Diamanti_2025,50,28,0.5357142857,34.25,10.5,0.6363636364,31.1,7.4,,1,"None: Age was non-significant between groups (F=1.24,p=0.271) and not co-varied.",0,Washout: 10 unmedicated; 11 taking methylphenidate underwent a 24-hour washout.,1,"Active non-stimulants: 3 atomoxetine, 1 antiepileptic, 1 benzodiazepine, 1 neuroleptic, 1 SNRI (duloxetine).",0,None: Depression/anxiety scores (BDI/STAI) used as covariates. Non-stimulant presence flagged as a limit in discussion.,0.0,clinical,None (pure ADHD cohort; systematically screened to ensure complete absence of active psychiatric diagnoses,"ADHD Child Evaluation for Adults (ACE+), ASRS, WURS, BIS-11, The State-Trait Anxiety Inventory (STAI), Beck Depression Inventory (BDI)",B,1
5,Doehnert_2013,23,11,0.0909,21.91,1.46,0.3333,21.12,1.29,,1,Yes: Supplementary ANOVAs of peak latencies (Cz/Pz) conducted to model age-related latency changes.,1,Washout: Stimulants withheld on test days; follow-up cohort tracked 11 years from childhood.,1,None reported active at the young adult follow-up assessment (T4).,1,None: Pure longitudinal design tracking developmental maturation trajectories over 11 years.,0.0,clinical,None (pure ADHD longitudinal cohort; subclinical persistent impairments tracked in remitters),"At the adult follow-up (Time 4) current ADHD status (DSM-IV) was established by a German adaptation of the WenderReimherr Adult Attention Deficit Disorder Scale (WRAADDS), an adult ADHD interview (Rosler et al., 2008). In addition, adult participants rated their current ADHD symptoms on a DSM-IV-based selfrating checklist for adults with ADHD (ADHS-SB; Rosler et al., 2004) and completed the Young Adult Self-Report (YASR; Achenbach, 1997). At time 4, parents completed the Young Adult Behavior Checklist (YABCL; Achenbach, 1997).",A,1
6,Fisher_2011,28,14,,24.6,3.87,,24.7,4.06,"The exact percentage of females is not provided in the sources, though the authors note that the experimental and control groups were ""gender matched"", Not specified, but gender was matched to the ADHD group",1,None: Statistical control relied entirely on group-level demographic matching.,0,Washout: 6 of 13 patients on regular methylphenidate underwent a 24-hour washout.,1,"participants with comorbid mild depression (n = 5) and moderate depression (n = 2) . Furthermore, two patients with ADHD were taking active selective serotonin re-uptake inhibitors (SSRIs) during the recording sessions and were not required to discontinue them",0,Exclusion/Washout: Strict washout protocol; comorbidities representing medication needs were excluded.,0.0,clinical,None (pure ADHD cohort),CAARS and DSM-IV criteria,B,0
7,Freichel_2024,190,85,0.21,44.31,6.14,,44.07,6.02,,1,None: Group matching verified as stable (p>0.05); age was not entered as a covariate.,0,Washout: Patients with active prescriptions underwent a standard washout prior to testing.,1,None reported: Comorbid psychiatric conditions requiring active treatment were excluded.,1,"Washout and Exclusion: Isolated ""off-medication"" state to measure pure alpha/beta dynamics.",0.0,clinical,None (genetic multiplex families study; no comorbid psychiatric diagnoses reported,SADS-LAR; KSADS-PL; ADHD-R,B,1
8,Gorman_Bozorgpour_2013,78,40,0.4,23.55,4.92,0.447,22.92,4.93,"(18 inattentive subtype; 22 with combined subtype),(the ADHD/inattentive group was 77,8% male, meaning 22,2% female; the ADHD/combined group was 45,5% male, meaning 54,5% female),The mean age for the ADHD/inattentive group was 24,03 years, and the mean age for the ADHD/combined group was 23,16 years",1,None: Statistical models relied on balanced demographics across the three cohorts,0,Washout: Withheld stimulant medication for (\ge) 48 hours prior to testing,1,None active: Excluded current use of any other psychotropic medication affecting the CNS,1,Exclusion: Washout for stimulants combined with a 6-month exclusion window for other psychotropics,,clinical,"Anxiety (16.7%–27.3%), depressive disorders (16.7%–50%), ODD (16.7%–45.5%), and reading/math learning disorders (5.6%–27.8%)","Structured Clinical Interview for DSM–IV Axis I Disorders (SCID), the Schedule for Affective Disorders and Schizophrenia for School-Age Children—Present and Lifetime version (K-SADS-PL) modules for childhood and adulthood ADHD, Barkley and Murphy’s (1998) scales for ADHD",B,0
9,Grane_2016,64,33,0.5760000000000001,31.3,9.6,0.5479999999999999,31.9,10.0,,1,"None: No age covariates included in final CueP3, late CNV, or reactive P3 analyses.",0,Treatment-Naïve: Strictly recruited newly diagnosed adults with zero lifetime stimulant exposure.,1,Active non-stimulants: 3 patients were treated with antidepressants (SSRIs); took dose day before but not day of.,0,Controlled: Supplementary correlation analyses proved antidepressant use did not associate with ERP amplitudes.,1.0,clinical,"None (pure ADHD cohort; self-reported depressive/antisocial traits were symptoms, not diagnoses)",semi-structured Adult Interview (assessing DSM-IV criteria) and the Adult Self-Report (ASR) of the Achenbach System of Empirically Based Assessment (ASEBA),B,1
10,Gu_2018,54,27,0.41,22.0,,0.41,22.0,,,1,None: Pair-matching design bypassed the requirement for statistical age covariates.,0,Unmedicated: Strictly evaluated college students with ADHD who were completely unmedicated.,1,None ongoing: Participants were medication-free and recruited via post-secondary disability services.,1,Exclusion: Isolated a pure unmedicated post-secondary sample to avoid pharmacological confounds.,,clinical,None (pure ADHD cohort),The 18-item Adult ADHD Self-Report Scale (ASRS v1.1) and a modified 6-item ASRS screener administered by telephone (ASRS-A); The Cognitive Failures Questionnaire (CFQ) was also used,C,1
11,Hale_2009,91,29,0.586,45.2,5.6,0.452,44.4,6.2,,1,Yes: Entered age systematically as a continuous covariate in all General Linear Models (GLM).,1,Active (On-Meds): 2 ADHD subjects took their regular Ritalin dose during testing (no washout).,0,Active non-stimulants: 2 ADHD on Celexa/Paxil; 3 controls on Wellbutrin/Celexa/Lexapro.,0,Covariated & Subtracted: Medication entered as covariate (p>0.4); analyses repeated with all medicated subjects removed.,1.0,clinical,Anxiety disorders (n = 6) and mood disorders (n = 6) formally diagnosed and statistically controlled,"SADS-LAR, KSADS-PL ",B,1
12,Hale_2010,139,35,0.629,44.6,5.9,0.49,44.7,5.9,,1,Yes: Entered age systematically as a continuous covariate in univariate and multivariate GLMs.,1,Exclusion: Currently taking any psychoactive medication served as an exclusion criterion.,1,None: Excluded all participants on active psychotropic medications.,1,Exclusion: Strict exclusion of all psychoactive substances during resting and task recordings.,,clinical,Anxiety disorders (n = 17) and mood disorders (n = 7) formally diagnosed and statistically controlled,"SADS-LAR, KSADS-PL ",B,0
